name,address,postcode,latitude,longitude
Afflecks & Brown,"4 Hilton Street, Manchester",M4 1NB,53.483184,-2.235417
Alvarium,"Dorsey House, 8 Dorsey Street, Manchester",M4 1LU,53.483875,-2.235012
Atlas Bar Cafe,"376 Deansgate, Manchester",M3 4LY,53.474988,-2.251869
Avan Lounge & Bar,"Unit 4, 165 Great Ducie Street, Manchester",M3 1FF,53.491721,-2.248791
Band on the Wall,"25-27 Swan Street, Manchester",M4 5JZ,53.485073,-2.233933
Bar 11,"Basement Floor, 65 Bridge Street, Manchester",M3 3BQ,53.481213,-2.249599
Bar Fringe,"8 Swan Street, Manchester",M4 5JN,53.485157,-2.233349
Bar Hutte also T/a Great Northern Beach Club & Pong & Puck,"231-233 Deansgate, Manchester",M3 4BQ,53.477958,-2.250139
Base Manchester Ltd,"Unit 5, Millow Street, Manchester",M4 4DR,53.488794,-2.239578
Be At One,"80 Deansgate, Manchester",M3 2ER,53.482575,-2.247408
Behind Closed Doors,"93 Oldham Street, Manchester",M4 1LW,53.483652,-2.234513
Blockbusters NQ,"60 Oldham Street, Manchester",M4 1LE,53.483403,-2.234017
Boom Battle Bar,"Unit 2a The Printworks, Withy Grove, Manchester",M4 2BS,53.485187,-2.240763
Bridge Street Tavern,"Bridge Street Tavern, 58 Bridge Street, Manchester",M3 3BW,53.480889,-2.249325
Cargo,"Units 5 & 6 The Printworks, Withy Grove, Manchester",M4 2BS,\N,\N
Cask,"Cotton Field Wharf New Islington Marina, 2 New Union Street, Manchester",M4 6FQ,53.483871,-2.225159
Castle Hotel,"Castle Hotel, 66 Oldham Street, Manchester",M4 1LE,53.48368,-2.23385
Club Liv,"111a Deansgate, Manchester",M3 2BQ,53.48092,-2.247713
Common also T/as Nell's Ice Cream & Nells Pizza,"39-41 Edge Street, Manchester",M4 1HW,53.484244,-2.236011
Crown And Anchor,"4-8 Cateaton Street, Manchester",M3 1SQ,53.48463,-2.244374
Crown and Kettle,"Crown And Kettle, 2 Oldham Road, Manchester",M4 5FE,53.484815,-2.232289
Disorder,"Basement And Ground Floor, 78-88 High Street, Manchester",M4 1ES,53.484221,-2.237515
Edinburgh Castle,"17 Blossom Street, Manchester",M4 5EP,53.484242,-2.229871
Electric Shuffle,"Ground Floor, 201 Deansgate, Manchester",M3 3NW,53.478895,-2.248831
Elnecot,"41 Blossom Street, Manchester",M4 6AJ,53.484732,-2.228747
English Lounge,"64-66 High Street, Manchester",M4 1EA,53.483843,-2.238344
Fierce Bar,"57 Thomas Street, Manchester",M4 1NA,53.484108,-2.236523
Finders Keepers,"7 Keepers Quay, Manchester",M4 6JL,53.483207,-2.223575
Flawd,"9 Keepers Quay, Manchester",M4 6GL,53.483156,-2.223466
Frog & Bucket Comedy Club,"Frog And Bucket, 102 Oldham Street, Manchester",M4 1LJ,53.484329,-2.232874
Gas Lamp,"50a Bridge Street, Manchester",M3 3BW,53.480846,-2.249478
Green Arches (BAR),"Unit 11, Red Bank, Manchester",M4 4HF,53.48973,-2.239072
GRUB,"50 Red Bank, Manchester",M4 4HF,53.491627,-2.237858
Gullivers,"109 Oldham Street, Manchester",M4 1LW,53.483626,-2.234621
Hare And Hounds,"46 Shudehill, Manchester",M4 4AA,53.485229,-2.237493
Hinterland,"Basement Manchester Buddhist Centre, 16-20 Turner Street, Manchester",M4 1DZ,53.483744,-2.237934
History,"Deansgate Court, 244 Deansgate, Manchester",M3 4BQ,53.477991,-2.25004
Junior Jacksons,"64 Oldham Street, Manchester",M4 1LE,53.483635,-2.23391
Kielys Irish Bar,"Unit 1 Great Northern Tower, 1 Watson Street, Manchester",M3 4EE,53.477244,-2.248101
Lion's Den,"Unit D& E Deansgate Mews, 235 Deansgate, Manchester",M3 4EN,53.477566,-2.249744
Lono Cove,"12 Thomas Street, Manchester",M4 1DH,53.484616,-2.237758
Lost Cat,"64 Oldham Street, Manchester",M4 1LE,53.483635,-2.23391
Lower Turks Head,"34-36 Shudehill, Manchester",M4 1EZ,53.484777,-2.238287
"Luck, Lust, Liquor and Burn","100-102 High Street, Manchester",M4 1HP,53.484485,-2.236856
